"","condition"
"TCGA-AO-A1KS-01A","B"
"TCGA-EW-A6SB-01A","B"
"TCGA-A8-A08J-01A","B"
"TCGA-BH-A0GY-01A","B"
"TCGA-AC-A2QJ-01A","B"
"TCGA-B6-A401-01A","B"
"TCGA-Z7-A8R5-01A","B"
"TCGA-A8-A093-01A","B"
"TCGA-A7-A0DA-01A","B"
"TCGA-PE-A5DE-01A","B"
"TCGA-EW-A6SA-01A","B"
"TCGA-E9-A22E-01A","B"
"TCGA-E2-A1B0-01A","B"
"TCGA-MS-A51U-01A","B"
"TCGA-A8-A06N-01A","B"
"TCGA-B6-A1KN-01A","B"
"TCGA-C8-A1HG-01A","B"
"TCGA-A7-A0CJ-01A","B"
"TCGA-BH-A0DD-01A","B"
"TCGA-AO-A12B-01A","B"
"TCGA-C8-A12L-01A","B"
"TCGA-E2-A14N-01A","B"
"TCGA-A2-A0T1-01A","B"
"TCGA-BH-A0BJ-01A","B"
"TCGA-E9-A1RA-01A","B"
"TCGA-A8-A07W-01A","B"
"TCGA-BH-A203-01A","B"
"TCGA-BH-A0EB-01A","B"
"TCGA-AN-A0FK-01A","B"
"TCGA-EW-A1P4-01A","B"
"TCGA-E2-A15E-01A","B"
"TCGA-AR-A24S-01A","B"
"TCGA-E2-A1L8-01A","B"
"TCGA-E9-A1RG-01A","B"
"TCGA-UU-A93S-01A","B"
"TCGA-A2-A0CV-01A","B"
"TCGA-EW-A1PH-01A","B"
"TCGA-AO-A1KR-01A","B"
"TCGA-A2-A0CW-01A","B"
"TCGA-AR-A24W-01A","B"
"TCGA-A7-A4SB-01A","B"
"TCGA-PL-A8LZ-01A","B"
"TCGA-B6-A3ZX-01A","B"
"TCGA-AR-A2LR-01A","B"
"TCGA-EW-A423-01A","B"
"TCGA-S3-AA10-01A","B"
"TCGA-D8-A1XJ-01A","B"
"TCGA-D8-A147-01A","B"
"TCGA-AN-A0AM-01A","B"
"TCGA-B6-A0IQ-01A","B"
"TCGA-A2-A0ET-01A","B"
"TCGA-AR-A255-01A","B"
"TCGA-E9-A5FL-01A","B"
"TCGA-AN-A0FV-01A","B"
"TCGA-AO-A0J3-01A","B"
"TCGA-A2-A3XX-01A","B"
"TCGA-E9-A1R6-01A","B"
"TCGA-UL-AAZ6-01A","B"
"TCGA-A8-A09E-01A","B"
"TCGA-A2-A0D1-01A","B"
"TCGA-AO-A0J2-01A","B"
"TCGA-BH-A0HQ-01A","B"
"TCGA-D8-A1JG-01B","B"
"TCGA-AN-A0AS-01A","B"
"TCGA-A2-A0CU-01A","B"
"TCGA-AR-A24Z-01A","B"
"TCGA-C8-A135-01A","B"
"TCGA-E9-A244-01A","B"
"TCGA-LL-A73Y-01A","B"
"TCGA-A8-A08F-01A","B"
"TCGA-D8-A1JE-01A","B"
"TCGA-PL-A8LV-01A","B"
"TCGA-E2-A14O-01A","B"
"TCGA-EW-A2FV-01A","B"
"TCGA-BH-A18H-01A","B"
"TCGA-E2-A1LL-01A","B"
"TCGA-A1-A0SJ-01A","B"
"TCGA-C8-A12P-01A","B"
"TCGA-C8-A1HK-01A","B"
"TCGA-A8-A097-01A","B"
"TCGA-XX-A89A-01A","B"
"TCGA-AC-A62X-01A","B"
"TCGA-E9-A295-01A","B"
"TCGA-C8-A27B-01A","B"
"TCGA-AR-A1AJ-01A","B"
"TCGA-E9-A1RE-01A","B"
"TCGA-C8-A138-01A","B"
"TCGA-D8-A1XK-01A","B"
"TCGA-PL-A8LX-01A","B"
"TCGA-E2-A14Z-01A","B"
"TCGA-AC-A3W5-01A","B"
"TCGA-D8-A1XF-01A","B"
"TCGA-E2-A14T-01A","B"
"TCGA-AC-A62Y-01A","B"
"TCGA-E2-A15H-01A","B"
"TCGA-BH-A0H7-01A","B"
"TCGA-A8-A07U-01A","B"
"TCGA-BH-A0AU-01A","B"
"TCGA-A8-A075-01A","B"
"TCGA-E2-A15A-01A","B"
"TCGA-D8-A27T-01A","B"
"TCGA-B6-A0IJ-01A","B"
"TCGA-B6-A0IB-01A","B"
"TCGA-A8-A06O-01A","B"
"TCGA-C8-A132-01A","B"
"TCGA-AO-A03L-01A","B"
"TCGA-AC-A23E-01A","B"
"TCGA-A8-A06Z-01A","B"
"TCGA-LL-A5YP-01A","B"
"TCGA-AR-A1AI-01A","B"
"TCGA-LL-A8F5-01A","B"
"TCGA-GI-A2C8-01A","B"
"TCGA-BH-A0C0-01A","B"
"TCGA-A7-A4SE-01A","B"
"TCGA-A2-A0EY-01A","B"
"TCGA-A8-A06Q-01A","B"
"TCGA-GM-A2DH-01A","B"
"TCGA-BH-A0WA-01A","B"
"TCGA-BH-A1F2-01A","B"
"TCGA-A8-A092-01A","B"
"TCGA-B6-A0WV-01A","B"
"TCGA-EW-A1OW-01A","B"
"TCGA-E2-A15M-01A","B"
"TCGA-A2-A0D4-01A","B"
"TCGA-A2-A0YG-01A","B"
"TCGA-AC-A62V-01A","B"
"TCGA-BH-A0DP-01A","B"
"TCGA-BH-A0C7-01B","B"
"TCGA-BH-A0B6-01A","B"
"TCGA-AR-A2LK-01A","B"
"TCGA-B6-A0I9-01A","B"
"TCGA-BH-A0E6-01A","B"
"TCGA-BH-A18Q-01A","B"
